20	01s1	20	88	HD	4	4	5	1	4	3	4	5	4	4	4	4
20	01s1	17	96	HD	5	2	1	1	2	5	1	1	4	4	1	1
21	01s1	9	71	CR	2	5	2	4	2	2	1	2	4	1	1	3
22	01s1	2	80	DN	3	3	3	3	3	3	3	3	3	3	3	3
22	01s1	3	78	DN	4	4	4	4	4	2	4	4	4	4	4	4
22	01s1	14	73	CR	4	4	4	4	4	2	4	4	4	4	4	4
23	01s1	12	71	CR	3	5	5	4	4	4	5	5	5	5	4	5
23	01s1	13	55	PS	3	4	4	4	4	4	4	4	5	5	3	4
23	01x1	2	50	PS	3	5	5	3	5	1	5	5	5	3	3	5
24	01s1	17	62	PS	2	3	1	2	3	2	1	3	2	4	4	3
24	01s1	18	62	PS	3	3	3	2	2	3	5	3	3	4	4	3
25	01s1	20	67	CR	4	4	4	4	4	4	4	4	4	4	4	4
26	01s1	1	53	PS	1	3	4	2	5	2	1	3	3	4	2	2
27	01s1	0	84	DN	5	5	5	3	4	1	2	4	5	5	4	5
28	01s1	21	86	HD	4	3	3	2	4	2	5	4	5	4	4	5
28	01s1	18	87	HD	3	3	3	4	3	4	3	3	3	4	4	3
29	01s1	17	83	DN	3	4	2	3	3	4	4	3	5	4	3	3
29	01s1	9	74	CR	4	5	4	4	4	1	4	4	5	2	4	4
29	01s1	8	76	DN	2	5	5	2	3	2	1	5	5	5	4	5
31	01s1	22	89	HD	5	4	4	3	4	2	4	4	3	4	4	4
32	01s1	23	82	DN	4	4	4	3	3	4	2	4	4	4	3	4
33	01s1	18	68	CR	3	4	4	3	4	3	4	3	4	4	4	4
33	01s1	19	53	PS	4	4	4	4	4	3	3	4	4	4	4	4
33	01s1	3	67	CR	4	3	4	2	3	4	4	4	3	4	3	3
34	01s1	18	64	PS	3	5	2	3	2	4	1	4	5	3	4	4
34	01s1	6	63	PS	4	5	4	4	4	3	3	5	5	3	4	5
34	01s1	24	78	DN	4	4	4	2	4	NA	4	4	4	4	4	4
34	01s1	10	93	HD	4	1	2	1	3	NA	2	2	4	4	3	3
34	01s1	3	69	CR	4	5	3	3	4	5	3	4	5	4	4	5
35	01s1	21	85	HD	4	5	3	4	3	2	3	4	5	4	3	4
36	01s1	2	26	FL	3	2	1	4	2	1	4	3	3	1	3	2
36	01s1	3	61	PS	4	4	4	3	4	3	4	4	4	4	4	4
